,MAE,MSE,RMSE,R2,SMAPE
LSTM,7.246009281369468,97.46417119885986,9.8723944004917,0.8418658731909867,30.077032052342588
Transformer,18.718142182603618,520.0622789105181,22.804874016545632,0.15620690813628624,49.05754014100192
Prophet,11.20984875556367,206.65578171471245,14.3755271804102,0.6647041554910141,38.502465223140256
