timestamp,total_consumo,total_pv,consumo_liquido
2010-10-01 00:00:00,8.198666666666668,0.0,8.198666666666668
2010-10-01 00:30:00,6.958333333333333,0.0,6.958333333333333
2010-10-01 01:00:00,5.422666666666667,0.0,5.422666666666667
2010-10-01 01:30:00,4.573,0.0,4.573
2010-10-01 02:00:00,4.812333333333333,0.0,4.812333333333333
2010-10-01 02:30:00,5.865666666666667,0.0,5.865666666666667
2010-10-01 03:00:00,5.188,0.0,5.188
2010-10-01 03:30:00,4.681333333333334,0.0,4.681333333333334
2010-10-01 04:00:00,5.768,0.0,5.768
2010-10-01 04:30:00,5.508333333333333,0.0,5.508333333333333
2010-10-01 05:00:00,8.199333333333334,0.0,8.199333333333334
2010-10-01 05:30:00,13.350666666666664,0.0,13.350666666666664
2010-10-01 06:00:00,10.020333333333333,0.0,10.020333333333333
2010-10-01 06:30:00,11.52833333333333,0.0,11.52833333333333
2010-10-01 07:00:00,13.429000000000002,0.21476666666666666,13.214233333333336
2010-10-01 07:30:00,12.771333333333333,1.5433999999999999,11.227933333333333
2010-10-01 08:00:00,16.69966666666667,4.236366666666668,12.4633
2010-10-01 08:30:00,17.023666666666667,7.573833333333333,9.449833333333334
2010-10-01 09:00:00,16.122666666666667,10.386,5.736666666666668
2010-10-01 09:30:00,16.384666666666664,13.511933333333332,2.8727333333333327
2010-10-01 10:00:00,20.605666666666668,15.797133333333335,4.808533333333333
2010-10-01 10:30:00,18.00566666666667,17.864866666666668,0.8
2010-10-01 11:00:00,17.962999999999997,19.0853,0.8
2010-10-01 11:30:00,13.129666666666665,20.071666666666665,0.8
2010-10-01 12:00:00,13.469666666666667,20.868166666666664,0.8
2010-10-01 12:30:00,12.154333333333332,21.149333333333335,0.8
2010-10-01 13:00:00,13.784,20.715966666666667,0.8
2010-10-01 13:30:00,10.709666666666665,20.380233333333333,0.8
2010-10-01 14:00:00,12.079333333333333,19.268199999999997,0.8
2010-10-01 14:30:00,13.028333333333334,17.852333333333334,0.8
2010-10-01 15:00:00,13.370333333333333,15.899300000000002,0.8
2010-10-01 15:30:00,16.064666666666668,13.801766666666666,2.262900000000002
2010-10-01 16:00:00,17.767333333333337,11.2806,6.486733333333337
2010-10-01 16:30:00,18.714333333333332,8.436466666666666,10.277866666666666
2010-10-01 17:00:00,17.491666666666664,5.260066666666667,12.231599999999997
2010-10-01 17:30:00,19.383000000000003,2.6237333333333335,16.75926666666667
2010-10-01 18:00:00,23.06233333333333,0.6886,22.37373333333333
2010-10-01 18:30:00,26.19033333333334,0.013733333333333334,26.176600000000004
2010-10-01 19:00:00,21.356666666666666,0.0,21.356666666666666
2010-10-01 19:30:00,22.853333333333335,0.0,22.853333333333335
2010-10-01 20:00:00,19.672,0.0,19.672
2010-10-01 20:30:00,20.406000000000002,0.0,20.406000000000002
