loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.011518510989844799,0.11673693358898163,0.023037021979689598,0.04754594713449478,0.23785576224327087,0.09509189426898956,0.0005000000237487257
0.011036626063287258,0.1140703409910202,0.022073252126574516,0.04849923402070999,0.2413620501756668,0.09699846804141998,0.0005000000237487257
0.010835915803909302,0.11275345087051392,0.021671831607818604,0.04918721690773964,0.24291428923606873,0.09837444871664047,0.0005000000237487257
0.010715940967202187,0.11193651705980301,0.021431881934404373,0.050343818962574005,0.24589820206165314,0.1006876528263092,0.0005000000237487257
0.010681741870939732,0.11165839433670044,0.021363483741879463,0.05117111653089523,0.24766439199447632,0.10234227031469345,0.0005000000237487257
0.010605924762785435,0.11109955608844757,0.02121184952557087,0.05108299106359482,0.24693132936954498,0.10216601192951202,0.0005000000237487257
0.010786972939968109,0.1119183674454689,0.021573945879936218,0.049462106078863144,0.2403448224067688,0.09892422705888748,0.0002500000118743628
0.010687751695513725,0.11132631450891495,0.02137550339102745,0.047285258769989014,0.23436346650123596,0.09457051753997803,0.0002500000118743628
0.010566452518105507,0.1105133444070816,0.021132905036211014,0.04813937097787857,0.2369241565465927,0.09627877175807953,0.0002500000118743628
0.01042701955884695,0.10975676029920578,0.0208540391176939,0.048129044473171234,0.23688428103923798,0.09625811874866486,0.0002500000118743628
0.01031006034463644,0.10918460786342621,0.02062012068927288,0.04882216826081276,0.23890532553195953,0.09764447063207626,0.0002500000118743628
0.010219252668321133,0.10860390216112137,0.020438505336642265,0.048484113067388535,0.2381717562675476,0.09696832299232483,0.0002500000118743628
0.010141769424080849,0.10815012454986572,0.020283538848161697,0.048696115612983704,0.23881228268146515,0.09739241003990173,0.0002500000118743628
0.010262513533234596,0.10873602330684662,0.020525027066469193,0.04807255417108536,0.23691466450691223,0.09614524245262146,0.0001250000059371814
0.010049398988485336,0.1076102927327156,0.020098797976970673,0.04801879823207855,0.2365143895149231,0.09603775292634964,0.0001250000059371814
0.009931391105055809,0.10694557428359985,0.019862782210111618,0.048135921359062195,0.23656436800956726,0.0962720438838005,0.0001250000059371814
0.009854476898908615,0.10654641687870026,0.01970895379781723,0.047912657260894775,0.23576518893241882,0.09582560509443283,0.0001250000059371814
0.00979684479534626,0.10611874610185623,0.01959368959069252,0.04819798842072487,0.23663192987442017,0.0963963121175766,0.0001250000059371814
