timestamp,Real,LSTM,Transformer,XGBoost,Prophet,Ensemble
2011-04-01 19:30:00,44.380443815273296,42.119026,26.171415,44.32503,648.2535811275552,43.265488
2011-04-01 20:00:00,44.380443815273296,41.55918,28.015438,44.32981,644.139196217395,43.086987
2011-04-01 20:30:00,44.380443815273296,40.810844,29.597336,44.273586,630.9190486829089,42.79774
2011-04-01 21:00:00,44.380443815273296,40.27865,32.329853,44.319893,614.1611647140146,42.667126
2011-04-01 21:30:00,44.380443815273296,39.93455,33.754723,44.31996,599.187032500375,42.559593
2011-04-01 22:00:00,44.380443815273296,39.756477,33.28626,44.31987,589.6614922505785,42.487522
2011-04-01 22:30:00,40.03939604414056,39.59021,33.28518,39.980446,586.6880442112464,39.745792
2011-04-01 23:00:00,44.380443815273296,37.13753,30.057426,44.132107,588.646391766098,41.362015
2011-04-01 23:30:00,44.380443815273296,38.90549,30.390385,44.29442,591.8061925892658,42.11874
2011-04-02 00:00:00,44.380443815273296,39.04306,30.895227,44.271065,591.539691613152,42.16189
2011-04-02 00:30:00,44.08041459567018,39.234386,31.269371,43.805954,583.7930757373384,41.95022
2011-04-02 01:00:00,44.380443815273296,38.991905,32.433365,43.938618,566.4058805764191,41.958523
2011-04-02 01:30:00,42.427128583482116,38.915695,34.304817,42.59874,539.9086122774626,41.128162
2011-04-02 02:00:00,39.79562230321305,37.71811,34.880657,39.79093,507.56998843215894,38.960003
2011-04-02 02:30:00,38.49132861243834,35.826096,34.772854,38.382275,474.6688905098691,37.390736
2011-04-02 03:00:00,38.17983994347537,34.875587,33.403183,38.179245,447.17745055492696,36.89625
2011-04-02 03:30:00,33.93880191221039,34.73707,34.375355,34.152466,430.2037234367826,34.371063
2011-04-02 04:00:00,30.42908510372799,32.62355,34.936394,30.633661,426.61133117227325,31.425774
2011-04-02 04:30:00,29.788397707700497,30.890282,34.414143,29.847237,436.1904410425622,30.293772
2011-04-02 05:00:00,29.121666108582424,30.81884,33.392437,29.04275,455.61060638704305,29.756657
2011-04-02 05:30:00,28.053853781869933,31.182964,33.39428,28.497852,479.1795788286595,29.554382
2011-04-02 06:00:00,36.77241120846211,31.162527,34.430428,37.228783,500.21827033552375,34.95386
2011-04-02 06:30:00,38.418404843784806,34.83399,34.893105,38.43839,512.6977977695927,37.061176
2011-04-02 07:00:00,44.380443815273296,35.675488,33.819237,44.357826,512.7139759870959,41.013283
2011-04-02 07:30:00,44.231366796782986,38.033745,33.819233,43.752953,499.41673817662235,41.509293
2011-04-02 08:00:00,38.85646833976786,37.592327,33.664944,39.581684,475.1556523061047,38.76789
2011-04-02 08:30:00,40.26202189215859,33.160927,33.02853,40.33485,444.8097161650623,37.590363
2011-04-02 09:00:00,39.103679915503335,33.08133,32.93404,38.780968,414.48476498927954,36.59992
2011-04-02 09:30:00,37.07796179912043,32.37522,31.333,37.22607,389.927753951226,35.357395
2011-04-02 10:00:00,17.7910834656329,31.100925,30.21636,19.174118,375.07968858795715,23.721918
2011-04-02 10:30:00,32.13998089315235,15.299994,29.287058,32.6927,371.14886306599107,26.232801
2011-04-02 11:00:00,28.935710498515913,25.738817,29.077839,28.182583,376.44424202770153,27.293554
2011-04-02 11:30:00,22.058061523176097,27.668058,28.537182,21.354902,387.0033912899638,23.780293
2011-04-02 12:00:00,9.734569681602466,22.466114,26.714634,9.553237,397.8354147434124,14.547601
2011-04-02 12:30:00,27.650845762270976,12.659125,26.30635,27.714722,404.4342106131679,22.143728
2011-04-02 13:00:00,27.650845762270976,25.177038,26.026224,27.344322,404.14522799571375,26.527248
2011-04-02 13:30:00,9.135136303270393,27.048136,26.00526,9.15862,397.00904691861194,15.983903
