,MAE_mean,MSE_mean,RMSE_mean,R2_mean,MAPE_mean,SMAPE_mean,MAE_std,MSE_std,RMSE_std,R2_std,MAPE_std,SMAPE_std
LSTM,8.33838332782886,123.13372619817565,10.683941461646523,0.7570298708051297,117265808.49203046,51.55116097340832,2.7985337167564777,77.08909347694934,3.351701255013264,0.09220652334016118,58462870.67421311,15.924280290539844
Transformer,17.308538580298894,469.20599938337034,21.29680008800685,0.03994444474226235,398416180.8990387,65.06483714514304,3.3523616477756994,190.8889010578495,4.423277262794213,0.03272609092576404,149610655.065107,16.04272281669784
XGBoost,3.3940465419025565,23.974996838852746,4.829042591568647,0.9493287702915498,6455179.395235513,40.46286072823872,0.7235724407560417,8.50960462481627,0.9050859680637441,0.011788987248727739,2977153.991948398,17.761396395195593
Prophet,15.336221847911947,429.99363759448687,19.13367267658944,0.2324730326152003,225943102.5534851,67.0170397676756,7.531150942082606,416.3802651920839,8.937016245622855,0.4360590872893862,175594033.38933063,17.020699265828107
Ensemble,5.536131065275661,56.355903918292526,7.296981936569027,0.8886276941471325,75512958.80209213,44.48192548092676,1.6675938396622436,27.798531296104407,1.9716612715163095,0.023178135126401638,55703725.18445421,16.64013378224704
