loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.01719396747648716,0.14354988932609558,0.03438793495297432,0.040030673146247864,0.22276939451694489,0.08006139099597931,0.0010000000474974513
0.017098305746912956,0.1430162787437439,0.03419661149382591,0.040954478085041046,0.22712433338165283,0.08190899342298508,0.0010000000474974513
0.016635917127132416,0.14150862395763397,0.03327183425426483,0.0369381457567215,0.2142641395330429,0.07387639582157135,0.0010000000474974513
0.016243096441030502,0.13926203548908234,0.032486192882061005,0.04155492037534714,0.2293698638677597,0.08310988545417786,0.0010000000474974513
0.01569392904639244,0.13686323165893555,0.03138785809278488,0.04296710342168808,0.2341332882642746,0.08593425154685974,0.0010000000474974513
0.015437131747603416,0.13598017394542694,0.030874263495206833,0.041949935257434845,0.2309046983718872,0.08390003442764282,0.0010000000474974513
0.01513843797147274,0.13461615145206451,0.03027687594294548,0.044207613915205,0.2378375083208084,0.08841551095247269,0.0010000000474974513
0.01492645125836134,0.1341128945350647,0.02985290251672268,0.04464435949921608,0.23979371786117554,0.08928889781236649,0.0010000000474974513
0.015764066949486732,0.13834279775619507,0.031528133898973465,0.044114403426647186,0.23699171841144562,0.08822887390851974,0.0005000000237487257
0.01619146205484867,0.14075399935245514,0.03238292410969734,0.042373087257146835,0.23138485848903656,0.08474617451429367,0.0005000000237487257
0.015855593606829643,0.13896316289901733,0.031711187213659286,0.04174881428480148,0.22878678143024445,0.08349766582250595,0.0005000000237487257
0.01595287024974823,0.14058168232440948,0.03190574049949646,0.04368467628955841,0.23575592041015625,0.08736936002969742,0.0005000000237487257
0.015213718637824059,0.13660992681980133,0.030427437275648117,0.04693741723895073,0.24686740338802338,0.09387484192848206,0.0005000000237487257
