,LSTM,XGBoost,Prophet
MAE,5.591211768588801,14.422244946715457,1314.005248897144
MSE,50.46947315285979,295.8972245739917,2767814.140047774
RMSE,7.104187015616903,17.20166342462239,1663.6748901296112
R2,0.8509093143501435,0.12589695636388365,0.20567799367813666
MAPE,159.77172113191597,755.1002974917951,49.614020563309204
