,MAE,MSE,RMSE,R2,MAPE,SMAPE
LSTM,8.745880770261229,138.52898797273878,11.769833812452017,0.7854441932586265,1179.6323659932596,34.33104778223044
Transformer,18.93129511192429,545.2820286989821,23.351274669683068,0.15545888783865147,4305.687659274791,49.576932323696575
XGBoost,18.982563701741245,555.3058998833031,23.56492944787451,0.13993376345784792,4361.975695413623,49.630012388029336
Prophet,23.994592488751643,880.7619471092518,29.677633785550555,-0.3641375200569321,4539.5755947366015,62.60789829509269
Ensemble,13.212192848194546,275.2838567508503,16.591680347416602,0.5736361693505002,3031.370946697287,39.57284373619425
