timestamp,Real,LSTM,Transformer,XGBoost,Prophet,Ensemble
2011-04-02 20:00:00,78.463,63.754574,69.85217,64.79035,69.84150463398349,65.79160610679504
2011-04-02 20:30:00,77.23599999999999,67.872826,67.603035,70.029625,65.00333902294302,68.14987271981015
2011-04-02 21:00:00,66.27799999999999,65.57805,67.603035,67.563095,60.44100901566258,65.56342865867441
2011-04-02 21:30:00,62.974999999999994,60.10236,66.509735,62.18053,56.89987773071172,60.85030264100534
2011-04-02 22:00:00,60.913,57.87942,66.509735,58.918247,54.698024492374785,58.418640084950034
2011-04-02 22:30:00,56.265,58.500835,65.04278,55.15783,53.692624003364195,56.87735130583308
2011-04-02 23:00:00,80.642,64.85362,65.04278,61.46939,53.36178412313066,61.44406420529952
2011-04-02 23:30:00,67.78,72.74924,63.57579,69.4594,52.978091171912226,67.05734056174641
2011-04-03 00:00:00,56.407,60.153706,63.57579,55.916634,51.82758163114035,57.27330470964161
2011-04-03 00:30:00,56.42699999999999,51.732063,44.674423,52.099236,49.41734127338681,50.850945816051315
2011-04-03 01:00:00,55.977000000000004,49.193913,44.674423,51.75598,45.618993322142025,49.13845411685938
2011-04-03 01:30:00,50.044,48.874485,43.70112,49.310158,40.71275748420747,47.09822069324057
2011-04-03 02:00:00,46.522000000000006,44.781326,43.70112,46.642326,35.32288270089746,43.65887835867896
2011-04-03 02:30:00,42.464,42.59138,42.57306,43.94193,30.263222759045917,40.83178405685045
2011-04-03 03:00:00,41.971,39.417015,42.57306,41.678936,26.334294071825013,38.13620714363697
2011-04-03 03:30:00,37.825,39.12354,41.205406,40.24399,24.124597871627007,36.95892873756059
2011-04-03 04:00:00,44.69600000000001,36.332047,41.205406,37.765354,23.86656545040838,34.991142235548686
2011-04-03 04:30:00,35.775999999999996,41.272087,39.91322,40.641907,25.382125463468682,37.979253940951054
2011-04-03 05:00:00,26.493,35.985336,39.91322,36.52303,28.1288987261711,35.07168711054997
2011-04-03 05:30:00,26.092000000000002,28.960567,38.610374,31.416721,31.331885881595543,31.15701030930307
2011-04-03 06:00:00,34.11719999999999,28.63729,38.610374,30.70656,34.16414795688082,31.295118755098063
2011-04-03 06:30:00,39.65880000000001,35.41395,37.455173,34.110416,35.92889946036599,35.1795000082523
