,MAE_mean,MSE_mean,RMSE_mean,R2_mean,MAPE_mean,SMAPE_mean,MAE_std,MSE_std,RMSE_std,R2_std,MAPE_std,SMAPE_std
LSTM,8.130109288025327,112.40590845808588,10.259177350554756,0.7663494178115353,101825181.8268944,52.171356099217675,2.6408640926799642,67.40691906500388,2.9906497095008815,0.09331893924823809,33507891.45421942,15.741963212090655
Transformer,17.216844247002392,464.328849509175,21.20540028240991,0.025215679843212425,393151109.8610858,65.21452742668416,3.2421139787914672,182.45557891530044,4.280748820583944,0.024817575238397397,150184746.16799593,15.914951576969578
XGBoost,3.4938417529673904,24.555690926454183,4.889225331813449,0.9470042527517977,17282619.070725627,40.72707649267054,0.7440798580105713,8.58512544933422,0.9021963347907218,0.011283655777170665,8137377.971433244,17.531590537038934
Prophet,14.78990013198592,394.49105573129816,18.448339851881624,0.26643665439048025,219563640.41918483,66.39673380303346,6.892108383612846,366.9607300679369,8.22722708760175,0.399363332589982,167714521.7884321,17.10236967426966
Ensemble,5.424151329375489,53.72089037277054,7.147121290541621,0.8897651981352434,73574032.21479037,44.25969612861052,1.5638847496761157,25.739398149241833,1.816434567723679,0.02366550563447834,46736855.47633133,16.62156996861291
