,MAE_mean,MSE_mean,RMSE_mean,R2_mean,SMAPE_mean,MAE_std,MSE_std,RMSE_std,R2_std,SMAPE_std
LSTM,5.536176527925608,57.84155920666667,7.4758084845336565,0.8730684719244636,48.59118959395945,1.3005363302995459,23.73076422330995,1.5627886570331824,0.025635488395467636,16.50753075382259
Transformer,10.798058630094944,194.66770850764698,13.453705377343244,0.5390558005436198,59.27777387265995,3.743015891862981,116.13908392969996,4.133025545422581,0.3525824099428942,18.247257167116473
XGBoost,4.721280928120609,45.02082812167034,6.653195681247363,0.895557889375789,47.2788476400933,0.8778406471856622,12.441081998682272,0.9719923795366076,0.03207601952750525,16.543923715886663
Prophet,11.955641269804927,239.65152342157626,15.37601482074788,0.41502421660705624,68.98011508027746,1.7631208297665957,61.44755220693676,2.009257217766631,0.28211473118132935,26.077712086926105
Ensemble,5.883993819219176,65.64020091806881,7.932125202490694,0.8594801472397184,49.078629779526715,1.4907293752229764,29.213562147468213,1.844447983164877,0.02053963747024101,15.965643750805352
