,consumo_liquido,total_pv,total_consumo
count,21936.0,21936.0,21936.0
mean,28.168303131838073,15.107227361415028,42.37631642049599
std,17.231377755009103,18.402844153115563,10.389165037111091
min,0.8,2.4000000000000004,12.308
25%,13.87125,2.4000000000000004,38.213499999999996
50%,31.691000000000003,2.4000000000000004,47.809
75%,46.1804,28.515025,50.0
max,47.6,50.0,50.0
