epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0005000000237487257,1.5461195707321167,0.20271433889865875,0.11940561234951019,0.1819656938314438
1,0.0005000000237487257,0.05452181026339531,0.19539429247379303,0.026787305250763893,0.1815449595451355
2,0.0005000000237487257,0.03174726292490959,0.1930042803287506,0.025525977835059166,0.18351329863071442
3,0.0005000000237487257,0.03061552904546261,0.18966449797153473,0.022756515070796013,0.1722577065229416
4,0.0005000000237487257,0.030266379937529564,0.18773335218429565,0.024033108726143837,0.17216035723686218
5,0.0005000000237487257,0.029616717249155045,0.1850321739912033,0.020684607326984406,0.16027337312698364
6,0.0005000000237487257,0.029226267710328102,0.1833575814962387,0.02387969195842743,0.16892200708389282
7,0.0005000000237487257,0.02863474003970623,0.180856853723526,0.026193764060735703,0.18613648414611816
8,0.0005000000237487257,0.028656447306275368,0.18085163831710815,0.019802339375019073,0.15701384842395782
9,0.0005000000237487257,0.02835782989859581,0.17956672608852386,0.022454045712947845,0.16624467074871063
10,0.0005000000237487257,0.028253985568881035,0.17881502211093903,0.021166695281863213,0.16372549533843994
11,0.0005000000237487257,0.027988038957118988,0.17769096791744232,0.020189892500638962,0.15621095895767212
12,0.0005000000237487257,0.027609622105956078,0.17597250640392303,0.019872313365340233,0.15573610365390778
