,MAE_mean,MSE_mean,RMSE_mean,R2_mean,MAPE_mean,SMAPE_mean,MAE_std,MSE_std,RMSE_std,R2_std,MAPE_std,SMAPE_std
LSTM,8.37381708928819,124.61420712136774,10.714863065177735,0.7493918300238182,101470591.35873583,52.57733900255606,2.8713844769512757,87.40028988889505,3.5010563791264695,0.11465712262139033,46554339.68361694,16.016686748919163
Transformer,17.291008843628866,470.21240777483933,21.31476311763675,0.03889831978341385,391564068.31599116,65.26384582596882,3.361650140736279,192.49496363195934,4.457196570417267,0.028372804572363224,145331645.1334878,16.110462219956144
XGBoost,3.3940465419025565,23.974996838852746,4.829042591568647,0.9493287702915498,6455179.395235513,40.46286072823872,0.7235724407560417,8.50960462481627,0.9050859680637441,0.011788987248727739,2977153.991948398,17.761396395195593
Prophet,15.336221847911947,429.99363759448687,19.13367267658944,0.2324730326152003,225943102.5534851,67.0170397676756,7.531150942082606,416.3802651920839,8.937016245622855,0.4360590872893862,175594033.38933063,17.020699265828107
Ensemble,5.3751246320801425,51.93819249854653,7.028323308070043,0.8954680120357512,67459986.71035874,44.225494442891076,1.5667299181959164,24.629578520751508,1.7821559891694048,0.02369499676345718,43139710.293844074,16.57440711477271
