timestamp,real_mean_horizon,LSTM_mean_horizon,Transformer_mean_horizon,XGBoost_mean_horizon,Prophet_mean_horizon,Ensemble_mean_horizon
2011-10-17 04:00:00,25.355,34.961266,33.685757,36.6851,32.915093191971565,35.34880469563929
2011-10-17 04:30:00,24.507999999999996,34.833645,33.702267,36.49451,33.45704862086559,35.36972085004338
2011-10-17 05:00:00,23.096000000000004,34.26051,33.704983,34.300938,34.178520505750974,34.21663982066419
2011-10-17 05:30:00,25.589000000000006,36.2943,33.69086,36.909027,35.004733699250544,36.030237066873
2011-10-17 06:00:00,35.955,36.224903,33.714912,37.48077,35.812171323797784,36.4262367034672
2011-10-17 06:30:00,35.651,35.036495,33.813286,36.40243,36.45850035563091,35.73405685956983
2011-10-17 07:00:00,25.5112,36.105038,33.872597,42.721424,36.818358556362014,39.31688978051744
2011-10-17 07:30:00,34.0752,35.99932,33.795033,38.445606,36.81572478263188,37.06908432044239
2011-10-17 08:00:00,29.573000000000008,35.82822,33.6712,39.603355,36.444575893074266,37.43344314773772
2011-10-17 08:30:00,16.931399999999996,35.55153,33.48168,40.824654,35.77265703730365,37.75744493408166
2011-10-17 09:00:00,20.852600000000002,34.599144,33.44336,36.66438,34.92760825083639,35.2397487555561
2011-10-17 09:30:00,20.878,34.282753,33.425354,33.901424,34.06921986115096,33.737297797189
2011-10-17 10:00:00,24.574499999999993,34.59263,33.547802,34.869816,33.35503997596508,34.28570939935827
2011-10-17 10:30:00,16.7708,34.366257,33.726097,34.345257,32.90804071058386,34.039945641546566
2011-10-17 11:00:00,27.95049999999999,34.027447,33.834713,40.070732,32.79421382358363,36.67109550524343
2011-10-17 11:30:00,46.46329999999999,32.48971,33.97725,39.3118,33.01508298791369,36.172201548086136
2011-10-17 12:00:00,45.7485,32.276756,34.29588,40.373005,33.51600450689666,36.892427208914185
2011-10-17 12:30:00,41.461000000000006,32.5044,34.62961,38.150177,34.206914094878954,35.962323545981846
2011-10-17 13:00:00,15.578000000000003,33.33981,34.936684,35.56977,34.98900635390088,34.85860679157945
2011-10-17 13:30:00,25.243799999999997,32.89232,34.956963,34.957043,35.779547401542395,34.60610942368565
2011-10-17 14:00:00,24.196700000000007,35.50994,35.223488,40.081566,36.52793559903109,38.1358116070857
2011-10-17 14:30:00,22.9749,36.750053,35.333233,40.659874,37.21894913815237,38.84071459147985
2011-10-17 15:00:00,27.901199999999992,38.943325,35.410973,42.61242,37.863037737267355,40.236767088698976
2011-10-17 15:30:00,33.089400000000005,41.14953,35.553764,45.712605,38.477417018224,42.5405345702168
2011-10-17 16:00:00,49.75919999999999,41.440872,35.769276,43.28239,39.06450578274732,41.4383150043008
2011-10-17 16:30:00,62.6296,41.837543,35.89704,47.5972,39.59511865357146,43.91637499292263
2011-10-17 17:00:00,72.9523,41.25447,36.011593,46.85967,40.002530597583394,43.33798372758715
2011-10-17 17:30:00,72.2296,40.020058,36.15275,42.21092,40.19041098976659,40.63428469639087
2011-10-17 18:00:00,73.1207,38.640285,36.13785,38.76301,40.053540568355274,38.50376496467679
2011-10-17 18:30:00,67.185,39.011414,36.286163,38.365265,39.50631211489676,38.26652547275553
2011-10-17 19:00:00,60.416,39.501724,36.384804,37.898216,38.51138159416591,37.928230300795505
2011-10-17 19:30:00,56.262,38.03765,36.419044,35.70301,37.10025244142535,36.24818999703374
2011-10-17 20:00:00,63.602000000000004,35.639603,36.31408,31.535955,35.379262881028,33.4827255367601
2011-10-17 20:30:00,54.335,33.72886,36.330864,28.490213,33.51800725300354,31.276623373246842
2011-10-17 21:00:00,49.84700000000001,31.782867,36.27813,28.493622,31.721740915415978,30.509051346329123
2011-10-17 21:30:00,42.60199999999999,30.112217,36.174664,28.710491,30.193599672404464,29.895769632519897
2011-10-17 22:00:00,34.212999999999994,27.775991,36.137367,30.11662,29.095354396983204,29.7454249757551
2011-10-17 22:30:00,32.705,26.46812,36.128075,23.55209,28.516116401094042,26.066576784992122
2011-10-17 23:00:00,51.07899999999999,25.485254,36.064377,22.767696,28.456677211371165,25.633155246987958
2011-10-17 23:30:00,48.019999999999996,25.506054,36.035656,26.16268,28.833416025581972,27.346533231110715
2011-10-18 00:00:00,44.004,26.404318,35.92412,29.049747,29.50088667926075,29.16159898436367
2011-10-18 00:30:00,37.42499999999999,28.84526,35.842598,30.348648,30.287544114770792,30.573428495502213
2011-10-18 01:00:00,32.184,31.493933,35.792442,28.670364,31.035796657941074,30.557949427973142
2011-10-18 01:30:00,28.344,32.01664,35.682808,28.139172,31.63653208133264,30.489774264260006
2011-10-18 02:00:00,25.76299999999999,32.414616,35.57748,32.384533,32.04974053022878,32.803538330197256
2011-10-18 02:30:00,26.3,32.970863,35.449986,33.579063,32.30646914358293,33.587913644284704
2011-10-18 03:00:00,23.817999999999998,32.54284,35.454407,33.217445,32.49215697838524,33.18163385927089
2011-10-18 03:30:00,21.694999999999997,32.145008,35.37539,32.923878,32.716166398734224,32.997330302970646
2011-10-18 04:00:00,24.205000000000002,34.58184,35.379616,35.426304,33.07581400094311,34.948976660301
2011-10-18 04:30:00,15.879000000000001,34.12615,35.28448,34.11431,33.62451322464067,34.22401664496367
2011-10-18 05:00:00,29.555,34.710827,35.1339,34.3089,34.35244669285676,34.556843302279674
2011-10-18 05:30:00,36.227,35.623745,35.2021,35.322205,35.18481875557457,35.456319100043586
2011-10-18 06:00:00,37.441,35.6785,35.363426,37.12077,35.99809290847609,36.43696541923385
2011-10-18 06:30:00,41.305,36.393333,35.377357,37.80259,36.64991743746439,36.94628902074911
2011-10-18 07:00:00,40.370999999999995,37.43823,35.439606,43.416195,37.01491240405799,40.270896736863826
2011-10-18 07:30:00,64.18799999999999,37.958458,35.589508,44.314564,37.01704000910712,40.940038372162185
2011-10-18 08:00:00,48.725899999999996,39.018272,35.738243,41.65771,36.65026154772477,39.682476415918714
2011-10-18 08:30:00,56.211400000000005,38.62674,35.757545,44.91203,35.98230774637106,41.02076186903479
2011-10-18 09:00:00,62.90899999999999,39.385536,35.940365,46.156136,35.14080539916663,41.65661594741427
2011-10-18 09:30:00,55.74909999999999,39.178867,36.082172,44.57982,34.285532813745434,40.798066341361974
