MAE,RMSE,R2,MAPE,Modelo,Horizonte (min)
6.25798225402832,8.214461326599121,0.8709124326705933,21.198035776615143,LSTM,30
17.16619873046875,21.448156356811523,0.1199524998664856,53.11225652694702,Transformer,30
2.0643289794922026,2.0643289794922026,,2.6628256791344644,XGBoost,30
2.538533499078099,2.538533499078099,,3.2745130528327984,Prophet,30
8.674872398376465,11.437223434448242,0.7546830177307129,30.714157223701477,LSTM,360
14.06779670715332,18.305583953857422,0.3715746998786926,51.41723155975342,Transformer,360
7.716258509318032,10.452457900128344,-0.0706389658070512,9.325854978906154,XGBoost,360
9.054832442740237,10.381173831964933,-0.05608559311092276,11.652524305021643,Prophet,360
9.073919296264648,12.179823875427246,0.731447160243988,65.34862518310547,LSTM,720
15.29391098022461,19.580217361450195,0.30596280097961426,126.13104581832886,Transformer,720
6.530988443628947,8.013534100944597,0.9479846770227484,353.3573826302543,XGBoost,720
13.237828210715525,15.478772688520639,0.8059310010118701,1540.4314462425746,Prophet,720
9.204158782958984,12.262456893920898,0.7516818046569824,148.9728331565857,LSTM,1440
15.258777618408203,19.54584312438965,0.36909741163253784,304.9281120300293,Transformer,1440
8.583857998371123,11.422243399507435,0.8491820670745424,679.9474235240408,XGBoost,1440
16.21730022598876,18.85066877654374,0.5892252988094913,876.4310936646195,Prophet,1440
