epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0005000000237487257,1.541550874710083,0.20283302664756775,0.11866667866706848,0.18053364753723145
1,0.0005000000237487257,0.054156411439180374,0.19377174973487854,0.025081215426325798,0.17489485442638397
2,0.0005000000237487257,0.031131470575928688,0.1901562213897705,0.02452094294130802,0.17948094010353088
3,0.0005000000237487257,0.03042186237871647,0.18825098872184753,0.022749919444322586,0.17032554745674133
4,0.0005000000237487257,0.029795069247484207,0.18587644398212433,0.02376127988100052,0.17500106990337372
5,0.0005000000237487257,0.0296368058770895,0.18496370315551758,0.024810420349240303,0.18118451535701752
6,0.0005000000237487257,0.029327893629670143,0.18360836803913116,0.02163233608007431,0.16470879316329956
7,0.007,0.0005000000237487257,0.010149181820452213,0.10181406140327454,0.006124033126980066,0.07434532791376114
8,0.0005000000237487257,0.009923333302140236,0.10064586997032166,0.00640504714101553,0.07554450631141663
9,0.0005000000237487257,0.00979654397815466,0.10001170635223389,0.005944773089140654,0.07348831743001938
10,0.0005000000237487257,0.009814586490392685,0.09959594160318375,0.005759201943874359,0.07251890003681183
11,0.0005000000237487257,0.009400231763720512,0.09812795370817184,0.005815255455672741,0.07487574219703674
12,0.0005000000237487257,0.009566125459969044,0.09827122837305069,0.0057640173472464085,0.07382438331842422
13,0.0005000000237487257,0.009265695698559284,0.09740478545427322,0.005633413791656494,0.07262886315584183
14,0.0005000000237487257,0.012019425630569458,0.11050961911678314,0.007958333939313889,0.08503405749797821
15,0.0005000000237487257,0.010301067493855953,0.10117512196302414,0.005931401159614325,0.0737190991640091
16,0.0005000000237487257,0.00934910774230957,0.09734340012073517,0.005743364803493023,0.07167394459247589
17,0.0005000000237487257,0.009010168723762035,0.09604993462562561,0.005313881207257509,0.06912370771169662
18,0.0005000000237487257,0.008853664621710777,0.09560446441173553,0.005373826250433922,0.07072713971138
19,0.0005000000237487257,0.008808190934360027,0.09535155445337296,0.005154300481081009,0.06874735653400421
20,0.0005000000237487257,0.008672606199979782,0.09467411786317825,0.00527605228126049,0.07060042023658752
21,0.0005000000237487257,0.008571742102503777,0.09423527121543884,0.005134006962180138,0.06843301653862
22,0.0005000000237487257,0.008466430008411407,0.09367022663354874,0.0051560178399086,0.07008957862854004
23,0.0005000000237487257,0.008409621194005013,0.09327935427427292,0.0050900704227387905,0.06909606605768204
24,0.0005000000237487257,0.008368867449462414,0.0931319072842598,0.005149389151483774,0.06959403306245804
25,0.0005000000237487257,0.008292042650282383,0.09270049631595612,0.005065503064543009,0.06849747151136398
26,0.0005000000237487257,0.008206386119127274,0.09235786646604538,0.004962962586432695,0.06847621500492096
27,0.0005000000237487257,0.008223913609981537,0.09240876138210297,0.005010928027331829,0.06868594139814377
28,0.0005000000237487257,0.008223687298595905,0.09246990829706192,0.005032478831708431,0.06896734982728958
29,0.0005000000237487257,0.008143492043018341,0.09193550795316696,0.0049882675521075726,0.06812141835689545
30,0.0005000000237487257,0.008017979562282562,0.09128734469413757,0.0050205448642373085,0.06839492917060852
31,0.0005000000237487257,0.007944474928081036,0.09087960422039032,0.0048903184942901134,0.0675298348069191
32,0.0005000000237487257,0.007899263873696327,0.0906168520450592,0.005213514436036348,0.07105670124292374
33,0.0005000000237487257,0.007902643643319607,0.09055836498737335,0.005189587827771902,0.07069477438926697
34,0.0005000000237487257,0.007844405248761177,0.09032316505908966,0.004997063893824816,0.06846391409635544
35,0.0002500000118743628,0.007345845922827721,0.0874142274260521,0.0047416384331882,0.06649988889694214
36,0.0002500000118743628,0.007307947613298893,0.08751258254051208,0.004883952904492617,0.06684984266757965
37,0.0002500000118743628,0.007236642297357321,0.08710172772407532,0.004708821419626474,0.06673108041286469
38,0.0002500000118743628,0.007179553154855967,0.08674469590187073,0.004815968684852123,0.06754335761070251
39,0.0002500000118743628,0.007152199279516935,0.08670428395271301,0.004638962913304567,0.066298708319664
40,0.0002500000118743628,0.007150284480303526,0.08666924387216568,0.004711075220257044,0.0664723813533783
41,0.0002500000118743628,0.00716442009434104,0.08683338016271591,0.004664959851652384,0.06718657165765762
42,0.0002500000118743628,0.007131202612072229,0.08662694692611694,0.0047125425189733505,0.06785452365875244
43,0.0002500000118743628,0.007092551793903112,0.08638036251068115,0.004686937667429447,0.06774192303419113
44,0.0002500000118743628,0.0070746238343417645,0.0863204151391983,0.004636350553482771,0.06637515127658844
45,0.0002500000118743628,0.007043743971735239,0.08608273416757584,0.004685092717409134,0.06761176139116287
46,0.0002500000118743628,0.007047566585242748,0.08610169589519501,0.004617737606167793,0.06680639088153839
47,0.0002500000118743628,0.0069606550969183445,0.08564476668834686,0.004690695088356733,0.06775882840156555
48,0.0001250000059371814,0.0066659641452133656,0.08371815830469131,0.0045357090421020985,0.06686225533485413
49,0.0001250000059371814,0.006622046697884798,0.08357399702072144,0.004542448557913303,0.06707194447517395
50,0.0001250000059371814,0.0066171130165457726,0.08360796421766281,0.004543115850538015,0.06730137020349503
51,0.0001250000059371814,0.0066260891035199165,0.08364300429821014,0.0045159123837947845,0.06622118502855301
52,0.0001250000059371814,0.006564007606357336,0.08326546102762222,0.004531905986368656,0.06670507788658142
53,0.0001250000059371814,0.006531060673296452,0.08316343277692795,0.004515280947089195,0.06629123538732529
54,0.0001250000059371814,0.006529852282255888,0.08310674875974655,0.004592019598931074,0.06698062270879745
55,0.0001250000059371814,0.006475523579865694,0.08285614848136902,0.004443539306521416,0.06606844067573547
56,0.0001250000059371814,0.006454207003116608,0.0827002003788948,0.004553987178951502,0.0661466121673584
57,6.25000029685907e-05,0.006269272416830063,0.08145244419574738,0.004348515532910824,0.06502743810415268
58,6.25000029685907e-05,0.006229571532458067,0.0812516063451767,0.004365581553429365,0.06495529413223267
59,6.25000029685907e-05,0.006209375336766243,0.0811745747923851,0.004338622093200684,0.06504253298044205
60,6.25000029685907e-05,0.00623202184215188,0.08139754086732864,0.004344195127487183,0.06557566672563553
61,6.25000029685907e-05,0.006219374481588602,0.08131662756204605,0.004335933364927769,0.06482850015163422
62,6.25000029685907e-05,0.006173491012305021,0.0810394287109375,0.0043176282197237015,0.06541923433542252
63,6.25000029685907e-05,0.00617198646068573,0.0811072587966919,0.0043317293748259544,0.06575769186019897
64,6.25000029685907e-05,0.006142724771052599,0.08084848523139954,0.0043482654727995396,0.06544153392314911
65,6.25000029685907e-05,0.0061393785290420055,0.08084053546190262,0.004535369109362364,0.06606031209230423
66,3.125000148429535e-05,0.006042047869414091,0.08019424229860306,0.004308501724153757,0.06539365649223328
67,3.125000148429535e-05,0.006006812676787376,0.08001917600631714,0.004322374239563942,0.06517394632101059
68,3.125000148429535e-05,0.005993720609694719,0.07994235306978226,0.004288158379495144,0.06511271744966507
69,3.125000148429535e-05,0.006003733724355698,0.08000950515270233,0.004344115033745766,0.06584461778402328
