loss,mae,val_loss,val_mae,learning_rate
0.03888225927948952,0.2230927050113678,0.05182598531246185,0.24771039187908173,0.0005000000237487257
0.038875360041856766,0.22298473119735718,0.05183037370443344,0.2477206140756607,0.0005000000237487257
0.03887535631656647,0.2229842096567154,0.05182807147502899,0.24771526455879211,0.0005000000237487257
0.03887535259127617,0.22298423945903778,0.05182640254497528,0.2477113902568817,0.0005000000237487257
0.03887535631656647,0.22298428416252136,0.051825400441884995,0.2477090209722519,0.0005000000237487257
0.03887540474534035,0.2229844182729721,0.05182493478059769,0.24770793318748474,0.0005000000237487257
0.038870733231306076,0.22296684980392456,0.05179934948682785,0.24764743447303772,0.0002500000118743628
0.038870375603437424,0.22296786308288574,0.05179715156555176,0.24764235317707062,0.0002500000118743628
0.038870375603437424,0.2229679822921753,0.05179707705974579,0.24764207005500793,0.0002500000118743628
0.03887036442756653,0.2229679971933365,0.05179716646671295,0.24764226377010345,0.0002500000118743628
0.03887036815285683,0.22296805679798126,0.05179727077484131,0.2476426362991333,0.0002500000118743628
0.0388677604496479,0.2229567915201187,0.05178803950548172,0.2476205825805664,0.0001250000059371814
0.038867589086294174,0.2229578197002411,0.05178353190422058,0.24760998785495758,0.0001250000059371814
0.03886756673455238,0.2229582667350769,0.051782358437776566,0.24760714173316956,0.0001250000059371814
0.03886755555868149,0.22295835614204407,0.051782067865133286,0.2476065307855606,0.0001250000059371814
0.0388675294816494,0.22295837104320526,0.051782041788101196,0.24760638177394867,0.0001250000059371814
0.038866035640239716,0.22295141220092773,0.05177895724773407,0.24759908020496368,6.25000029685907e-05
0.03886601701378822,0.2229519486427307,0.05177583172917366,0.24759162962436676,6.25000029685907e-05
0.038865990936756134,0.22295252978801727,0.05177401378750801,0.2475874274969101,6.25000029685907e-05
0.038865987211465836,0.2229527235031128,0.051773086190223694,0.2475852519273758,6.25000029685907e-05
0.03886599838733673,0.22295287251472473,0.0517725944519043,0.24758410453796387,6.25000029685907e-05
0.038865141570568085,0.22294877469539642,0.051771048456430435,0.24758045375347137,3.125000148429535e-05
0.03886516019701958,0.22294913232326508,0.05176963657140732,0.24757713079452515,3.125000148429535e-05
0.038865115493535995,0.22294926643371582,0.051768507808446884,0.24757449328899384,3.125000148429535e-05
0.038865115493535995,0.2229495495557785,0.05176768824458122,0.24757254123687744,3.125000148429535e-05
0.03886513411998749,0.22294966876506805,0.051767051219940186,0.24757111072540283,3.125000148429535e-05
0.038864701986312866,0.22294746339321136,0.05176630616188049,0.24756932258605957,1.5625000742147677e-05
0.03886472433805466,0.22294773161411285,0.05176564306020737,0.24756771326065063,1.5625000742147677e-05
0.03886471688747406,0.2229478806257248,0.05176505073904991,0.2475663721561432,1.5625000742147677e-05
0.03886471688747406,0.22294794023036957,0.05176454782485962,0.24756519496440887,1.5625000742147677e-05
0.03886471688747406,0.22294797003269196,0.051764119416475296,0.2475641965866089,1.5625000742147677e-05
0.03886447474360466,0.2229469120502472,0.051763780415058136,0.24756339192390442,7.812500371073838e-06
0.03886447474360466,0.22294700145721436,0.051763441413640976,0.24756263196468353,7.812500371073838e-06
0.038864463567733765,0.22294706106185913,0.0517631433904171,0.24756194651126862,7.812500371073838e-06
0.03886447101831436,0.2229471057653427,0.05176287516951561,0.2475612759590149,7.812500371073838e-06
0.03886447474360466,0.22294722497463226,0.051762621849775314,0.24756073951721191,7.812500371073838e-06
0.0388643778860569,0.22294653952121735,0.05176246166229248,0.24756035208702087,3.906250185536919e-06
0.038864362984895706,0.22294661402702332,0.05176230147480965,0.24755999445915222,3.906250185536919e-06
0.038864362984895706,0.22294670343399048,0.05176215246319771,0.2475595921278,3.906250185536919e-06
0.038864344358444214,0.22294668853282928,0.051762014627456665,0.24755939841270447,3.906250185536919e-06
0.03886434808373451,0.22294670343399048,0.05176187679171562,0.24755898118019104,3.906250185536919e-06
0.03886431083083153,0.22294634580612183,0.051761794835329056,0.24755872786045074,1.9531250927684596e-06
0.038864318281412125,0.2229464203119278,0.051761724054813385,0.2475586235523224,1.9531250927684596e-06
0.038864318281412125,0.2229464203119278,0.05176163464784622,0.24755842983722687,1.9531250927684596e-06
0.03886431083083153,0.222946435213089,0.05176157131791115,0.24755820631980896,1.9531250927684596e-06
0.03886430338025093,0.22294647991657257,0.051761507987976074,0.24755804240703583,1.9531250927684596e-06
0.038864292204380035,0.22294627130031586,0.05176146700978279,0.24755798280239105,9.999999974752427e-07
0.03886428847908974,0.22294628620147705,0.05176141485571861,0.24755792319774628,9.999999974752427e-07
0.038864292204380035,0.22294630110263824,0.051761381328105927,0.2475578337907791,9.999999974752427e-07
0.03886428847908974,0.22294633090496063,0.05176134780049324,0.24755772948265076,9.999999974752427e-07
0.03886428475379944,0.22294633090496063,0.05176129937171936,0.2475576400756836,9.999999974752427e-07
0.03886427730321884,0.22294636070728302,0.05176127701997757,0.24755753576755524,9.999999974752427e-07
0.03886428102850914,0.22294634580612183,0.05176124349236488,0.24755741655826569,9.999999974752427e-07
0.03886428102850914,0.22294633090496063,0.0517612062394619,0.24755734205245972,9.999999974752427e-07
0.03886427730321884,0.22294633090496063,0.05176117643713951,0.24755728244781494,9.999999974752427e-07
0.03886428102850914,0.22294633090496063,0.05176113173365593,0.24755722284317017,9.999999974752427e-07
0.03886427730321884,0.22294636070728302,0.051761094480752945,0.2475571185350418,9.999999974752427e-07
0.03886427730321884,0.22294633090496063,0.05176106467843056,0.24755696952342987,9.999999974752427e-07
0.03886427357792854,0.22294630110263824,0.051761019974946976,0.2475568652153015,9.999999974752427e-07
0.03886427357792854,0.22294633090496063,0.051760993897914886,0.24755683541297913,9.999999974752427e-07
0.038864269852638245,0.22294634580612183,0.0517609566450119,0.24755677580833435,9.999999974752427e-07
0.03886427357792854,0.22294636070728302,0.051760923117399216,0.24755676090717316,9.999999974752427e-07
0.038864266127347946,0.22294636070728302,0.051760897040367126,0.247556671500206,9.999999974752427e-07
0.038864269852638245,0.2229463905096054,0.05176086351275444,0.24755661189556122,9.999999974752427e-07
0.038864269852638245,0.2229463905096054,0.05176081880927086,0.24755658209323883,9.999999974752427e-07
0.038864266127347946,0.2229464054107666,0.05176078528165817,0.24755647778511047,9.999999974752427e-07
0.038864269852638245,0.2229463905096054,0.05176076292991638,0.24755635857582092,9.999999974752427e-07
0.038864269852638245,0.2229464203119278,0.05176074057817459,0.24755628407001495,9.999999974752427e-07
0.03886427730321884,0.2229464203119278,0.0517607145011425,0.2475561648607254,9.999999974752427e-07
0.03886428475379944,0.222946435213089,0.05176067724823952,0.24755610525608063,9.999999974752427e-07
0.038864292204380035,0.22294645011425018,0.05176064372062683,0.24755606055259705,9.999999974752427e-07
0.03886428847908974,0.22294646501541138,0.051760606467723846,0.24755597114562988,9.999999974752427e-07
0.03886428475379944,0.22294646501541138,0.05176058039069176,0.2475559115409851,9.999999974752427e-07
0.038864292204380035,0.22294646501541138,0.05176055431365967,0.24755588173866272,9.999999974752427e-07
0.03886428847908974,0.22294647991657257,0.05176051706075668,0.24755580723285675,9.999999974752427e-07
0.038864292204380035,0.22294646501541138,0.05176049470901489,0.2475557178258896,9.999999974752427e-07
0.038864295929670334,0.22294649481773376,0.051760461181402206,0.247555673122406,9.999999974752427e-07
0.038864295929670334,0.22294652462005615,0.05176043510437012,0.24755561351776123,9.999999974752427e-07
0.03886429965496063,0.22294655442237854,0.05176040902733803,0.24755555391311646,9.999999974752427e-07
0.03886429965496063,0.22294656932353973,0.05176037922501564,0.24755549430847168,9.999999974752427e-07
0.03886430338025093,0.22294656932353973,0.05176035687327385,0.2475554645061493,9.999999974752427e-07
0.03886430338025093,0.22294659912586212,0.05176033452153206,0.24755539000034332,9.999999974752427e-07
0.03886430338025093,0.22294661402702332,0.051760315895080566,0.24755533039569855,9.999999974752427e-07
0.03886430338025093,0.22294661402702332,0.05176027864217758,0.24755527079105377,9.999999974752427e-07
0.03886430710554123,0.2229466289281845,0.05176025629043579,0.24755507707595825,9.999999974752427e-07
0.03886430338025093,0.2229466289281845,0.0517602264881134,0.24755507707595825,9.999999974752427e-07
0.03886429965496063,0.2229466289281845,0.05176021158695221,0.24755500257015228,9.999999974752427e-07
0.038864295929670334,0.2229466289281845,0.05176018178462982,0.2475549727678299,9.999999974752427e-07
