Data,Real,Previsto,Erro
2011-10-01 07:30:00,39.0409,4.062840149329901,34.9780598506701
2011-10-01 08:00:00,24.709600000000005,7.172682005294032,17.536917994705973
2011-10-01 08:30:00,28.4138,11.930286612156625,16.483513387843374
2011-10-01 09:00:00,16.8007,18.16041724265796,-1.3597172426579611
2011-10-01 09:30:00,14.147599999999994,25.452653854573356,-11.305053854573362
2011-10-01 10:00:00,1.3932999999999964,33.20029721752123,-31.806997217521236
2011-10-01 10:30:00,1e-06,40.68761858217735,-40.68761758217735
2011-10-01 11:00:00,1.0801000000000016,47.208467099456925,-46.12836709945692
2011-10-01 11:30:00,2.7954000000000008,52.19017589843031,-49.39477589843031
2011-10-01 12:00:00,1e-06,55.294054078364624,-55.29405307836463
2011-10-01 12:30:00,1e-06,56.468419398736344,-56.46841839873635
2011-10-01 13:00:00,1e-06,55.94109347067116,-55.941092470671165
2011-10-01 13:30:00,1e-06,54.15284096840038,-54.152839968400386
2011-10-01 14:00:00,1e-06,51.64768687171655,-51.647685871716554
2011-10-01 14:30:00,4.868200000000002,48.946662404517255,-44.07846240451725
2011-10-01 15:00:00,20.8559,46.43553515312033,-25.57963515312033
2011-10-01 15:30:00,15.666800000000002,44.29338683523927,-28.626586835239266
2011-10-01 16:00:00,18.213100000000004,42.47841707704542,-24.265317077045417
2011-10-01 16:30:00,42.706500000000005,40.77274176796641,1.9337582320335969
2011-10-01 17:00:00,55.90579999999999,38.87296441469458,17.032835585305413
2011-10-01 17:30:00,39.25290000000001,36.501775255580455,2.751124744419556
2011-10-01 18:00:00,60.398900000000005,33.51072303074263,26.888176969257373
2011-10-01 18:30:00,60.70130000000001,29.946889508114154,30.754410491885857
2011-10-01 19:00:00,60.357,26.06576279541703,34.29123720458297
2011-10-01 19:30:00,64.937,22.286635922405107,42.65036407759489
2011-10-01 20:00:00,67.847,19.101698943255045,48.74530105674495
2011-10-01 20:30:00,57.28,16.96181506914558,40.31818493085442
2011-10-01 21:00:00,50.839999999999996,16.167765516049215,34.67223448395078
2011-10-01 21:30:00,62.86,16.794104685121297,46.0658953148787
2011-10-01 22:00:00,48.63300000000001,18.664227821644403,29.968772178355607
2011-10-01 22:30:00,44.003,21.38214286854124,22.62085713145876
2011-10-01 23:00:00,38.331999999999994,24.412233665645395,13.919766334354598
2011-10-01 23:30:00,38.861,27.18670091000518,11.674299089994818
2011-10-02 00:00:00,26.337000000000003,29.214312379455343,-2.87731237945534
2011-10-02 00:30:00,18.866,30.165006041684038,-11.299006041684038
