,MAE_mean,MSE_mean,RMSE_mean,R2_mean,SMAPE_mean,MAE_std,MSE_std,RMSE_std,R2_std,SMAPE_std
LSTM,6.3053854751216045,75.96627727511652,8.615489843417434,0.8432791802477114,47.989199822684554,1.2146849817857264,26.342800316677863,1.615369322982011,0.013556907328396522,13.970022187236362
Transformer,17.002730382457646,439.73069904616267,20.746377850718932,0.08434948897469796,66.56246546135755,2.674227067564703,148.97253132512597,3.7386839505422493,0.13530954288882233,13.861127560047644
Prophet,15.780200561143173,434.84886491275194,20.24631498019578,0.08060815410231266,81.9566687933533,4.142404277018414,268.1746298715012,6.115831256107196,0.41999860982375414,23.448465124695645
Ensemble,7.963045333332592,112.85192745920659,10.445370678841806,0.7729755725674655,50.81551266568669,1.9207260102352934,46.63241400333866,2.3704932527213933,0.007086050870641086,13.71490093108698
